feature,model_count,mean_importance
num__escalation_keyword_score,2,0.19368499002170755
cat__region_LEVANT,2,0.13347119827458845
cat__geo_risk_zone_high,2,0.1301576991171346
num__keyword_count,1,0.1016518372178159
num__text_length,1,0.04381964189953831
cat__source_nasa_firms,2,0.03892424012976193
num__sentiment_score,1,0.03865139874832861
num__cross_source_density,2,0.0385163225213399
cat__source_type_satellite_detection,2,0.034980644196033826
cat__country_Israel/Palestine,2,0.02663996317041676
cat__country_UNKNOWN,2,0.02406131343380033
num__source_reliability,1,0.02098953668833746
cat__region_OTHER,2,0.019939930040628606
cat__geo_risk_zone_low,2,0.019871272037063965
cat__geo_risk_zone_medium,2,0.016360799653566332
cat__country_Iran/Gulf,1,
cat__country_Israel,1,
cat__region_GULF,1,
cat__source_type_news,1,
