feature,coefficient
num__cross_source_density,7.097778472980913
cat__geo_risk_zone_high,4.9548413328469225
cat__region_LEVANT,4.9548413328469225
num__escalation_keyword_score,4.515432123415611
cat__region_GULF,-3.29991976094499
cat__geo_risk_zone_medium,-3.1511466644154624
cat__geo_risk_zone_low,-2.438069696098069
cat__country_UNKNOWN,-2.438069696098069
cat__region_OTHER,-2.438069696098069
cat__country_Iran/Gulf,-2.2250202594707242
cat__country_Israel,2.085638153796773
cat__source_type_satellite_detection,-1.7191291594732845
cat__source_nasa_firms,-1.7191291594732845
cat__country_Israel/Palestine,1.6459980843631052
cat__source_type_news,1.5794625208960933
cat__source_bbc_rss,1.5725638922372127
cat__source_youtube,-1.373977355115152
cat__source_type_video_platform,-1.373977355115152
cat__country_Palestine,1.2076939150709767
cat__country_Iran,-1.0748995014742606
cat__weekday_Friday,-0.9457468217224251
cat__source_type_aviation_tracking,-0.9334099315037718
cat__source_opensky,-0.9334099315037718
cat__source_gdelt,0.7679758768348269
cat__source_type_news_intelligence,0.7679758768348269
cat__source_type_news_aggregator,0.6245225746620917
cat__source_google_news_rss,0.6245225746620917
cat__weekday_Monday,0.6190647110064053
cat__weekday_Sunday,0.5160601730217703
cat__source_bluesky,0.5059011623635152
cat__source_type_social_media,0.5059011623635152
num__year,0.43899878242156143
num__source_reliability,-0.4228382296655507
cat__weekday_Thursday,-0.3702763086022395
cat__weekday_Saturday,-0.3154994957622317
num__keyword_count,0.30543101733748945
cat__country_Yemen,0.3046381085686756
num__sentiment_score,-0.2539711800926668
cat__country_Yemen/RedSea,-0.15586501203915407
cat__region_RED_SEA,0.1487730965295209
cat__weekday_Wednesday,-0.10942598781046675
num__day,-0.0891420656926488
cat__source_acled,-0.08572071633090683
cat__source_type_event,-0.08572071633090683
num__text_length,-0.07375932685806567
num__month,0.03154052075066158
cat__weekday_Tuesday,-0.028551297797412414
cat__country_Lebanon,0.014967690764703456
num__hour,-0.01392875051521079
cat__source_aljazeera_rss,0.0068986286588782145
cat__country_Syria,0.0005434888513734727
