feature,importance
num__escalation_keyword_score,0.19368499002170755
cat__region_LEVANT,0.13347119827458845
cat__geo_risk_zone_high,0.1301576991171346
num__keyword_count,0.1016518372178159
num__text_length,0.04381964189953831
cat__source_nasa_firms,0.03892424012976193
num__sentiment_score,0.03865139874832861
num__cross_source_density,0.0385163225213399
cat__source_type_satellite_detection,0.034980644196033826
cat__country_Israel/Palestine,0.02663996317041676
cat__country_UNKNOWN,0.02406131343380033
num__source_reliability,0.02098953668833746
cat__region_OTHER,0.019939930040628606
cat__geo_risk_zone_low,0.019871272037063965
cat__geo_risk_zone_medium,0.016360799653566332
cat__country_Iran/Gulf,0.013922668353014315
num__year,0.012245647016016176
cat__country_Israel,0.011573632821048278
num__hour,0.01032725158776546
cat__region_GULF,0.009474458943541838
num__month,0.007082650473936546
cat__source_acled,0.006332893728981071
num__day,0.0060834538617290405
cat__source_type_video_platform,0.0057832647478558985
cat__source_type_event,0.005614525943235717
cat__source_youtube,0.004659071514773891
cat__country_Palestine,0.0037194629338070917
cat__country_Iran,0.0032199809497650504
cat__region_RED_SEA,0.002616626285523176
cat__source_type_aviation_tracking,0.002614364714608153
cat__weekday_Friday,0.00179429887567329
cat__source_opensky,0.0016893880231319777
cat__source_gdelt,0.0013389951847513281
cat__country_Yemen/RedSea,0.0011240714414120407
cat__source_type_news_intelligence,0.0010022677087727558
cat__source_type_news_aggregator,0.000958825647988704
cat__source_google_news_rss,0.0008571551241509968
cat__country_Yemen,0.0008199453060993324
cat__source_bluesky,0.0007544125987893143
cat__source_type_social_media,0.0005227764379244607
cat__weekday_Thursday,0.0004324635337767544
cat__weekday_Monday,0.0003718077734027059
cat__weekday_Saturday,0.0003601175009696585
cat__weekday_Wednesday,0.00034622136178327057
cat__weekday_Tuesday,0.00021879101977340207
cat__weekday_Sunday,0.00021646560389615132
cat__source_type_news,0.00010288947027371715
cat__source_bbc_rss,7.355840862184954e-05
cat__source_aljazeera_rss,1.4543293773598426e-05
cat__country_Lebanon,7.016396342023663e-06
cat__country_Syria,3.2482630284237083e-06
